x,y,time
900,606,3300
898,611,4967
894,622,6633
891,636,8300
889,653,9967
885,670,11633
884,692,13300
885,716,14967
887,740,16633
892,765,18300
898,791,19967
908,818,21633
922,843,23300
943,862,24967
967,881,26633
988,900,28300
1005,920,29967
1024,940,31633
1041,958,33300
1059,984,34967
1081,1000,36633
1103,1007,38300
1126,1012,39967
1148,1016,41633
1169,1018,43300
1186,1018,44967
1205,1018,46633
1229,1029,48300
1244,1043,49967
1261,1053,51633
1271,1067,53300
1276,1084,54967
1281,1101,56633
1286,1120,58300
1286,1138,59967
1284,1160,61633
1285,1182,63300
1285,1205,64967
1288,1225,66633
1297,1250,68300
1314,1271,69967
1332,1285,71633
1352,1308,73300
1363,1331,74967
1381,1359,76633
1395,1387,78300
1413,1408,79967
1430,1419,81633
1444,1430,83300
1447,1428,84967
1449,1429,86633
1463,1424,88300
1473,1425,89967
1492,1425,91633
1509,1424,93300
1528,1420,94967
1543,1419,96633
1568,1415,98300
1593,1417,99967
1613,1419,101633
1623,1422,103300
1625,1424,104967
