x,y,time
291,184,3300
307,284,28300
311,287,29967
318,294,31633
324,301,33300
329,309,34967
337,314,36633
341,316,38300
351,318,39967
357,318,41633
363,319,43300
368,320,44967
376,319,46633
382,322,48300
407,343,58300
400,354,59967
401,361,61633
400,368,63300
400,374,64967
401,385,66633
402,389,68300
404,401,69967
415,404,71633
420,408,73300
426,418,74967
430,426,76633
435,435,78300
440,441,79967
446,445,81633
450,448,83300
450,449,84967
451,447,86633
453,447,88300
458,447,89967
462,446,91633
468,446,93300
473,446,94967
480,445,96633
488,444,98300
495,445,99967
502,446,101633
503,445,103300
504,445,104967
