x,y,time
904,370,11633
896,371,13300
889,372,14967
875,382,16633
865,377,18300
858,380,19967
850,383,21633
840,387,23300
832,389,24967
822,393,26633
813,397,28300
805,401,29967
797,404,31633
787,408,33300
778,411,34967
769,415,36633
760,418,38300
753,421,39967
745,424,41633
737,427,43300
727,431,44967
717,435,46633
697,440,49967
684,446,51633
674,451,53300
663,457,54967
597,492,64967
586,498,66633
575,503,68300
564,509,69967
550,516,71633
539,522,73300
527,528,74967
513,536,76633
503,541,78300
495,546,79967
492,548,81633
